data

OLVAS.HE

PON1V.HE
15.2.2017 Lisää 23,00 € 22,30 €
26.4.2017 Lisää 25,00 € 23,08 €
21.6.2017 Lisää 27,00 € 23,89 €
9.8.2017 Lisää 26,50 € 24,06 €
18.10.2017 Vähennä 27,50 € 27,40 €
14.2.2018 Vähennä 26,50 € 26,55 €
18.4.2018 Vähennä 28,00 € 27,45 €
22.5.2018 Vähennä 29,00 € 31,50 €
8.8.2018 Vähennä 30,50 € 32,30 €
24.9.2018 Vähennä 30,00 € 29,70 €
24.10.2018 Vähennä 28,50 € 27,20 €
20.2.2019 Vähennä 28,50 € 28,25 €
17.4.2019 Vähennä 28,50 € 29,45 €
14.8.2019 Vähennä 27,00 € 28,30 €
23.10.2019 Vähennä 27,00 € 29,30 €
4.12.2019 Lisää 29,50 € 28,10 €
17.2.2020 Vähennä 31,00 € 32,90 €
19.2.2020 Vähennä 29,50 € 29,85 €
18.3.2020 Vähennä 20,00 € 21,00 €
22.4.2020 Vähennä 20,00 € 22,95 €
12.8.2020 Vähennä 25,00 € 25,50 €
21.10.2020 Lisää 29,00 € 26,05 €
26.11.2020 Vähennä 31,00 € 29,85 €
17.2.2021 Vähennä 33,00 € 33,20 €

ACG1V.HE
10.7.2018 Lisää 2,75 € 2,48 €
31.7.2018 Lisää 3,25 € 3,05 €
10.8.2018 Lisää 3,80 € 3,50 €
17.10.2018 Vähennä 4,20 € 4,15 €
26.10.2018 Vähennä 3,80 € 3,83 €
7.12.2018 Vähennä 3,80 € 3,69 €
17.12.2018 Lisää 3,80 € 3,53 €
21.12.2018 Lisää 4,00 € 3,78 €
1.3.2019 Lisää 4,70 € 4,20 €
2.5.2019 Lisää 5,50 € 5,20 €
9.8.2019 Lisää 5,50 € 5,12 €
23.9.2019 Vähennä 5,20 € 5,24 €
23.10.2019 Myy 5,20 € 6,72 €
30.10.2019 Vähennä 5,50 € 5,44 €
4.11.2019 Vähennä 5,75 € 5,70 €
29.11.2019 Lisää 5,75 € 5,28 €
5.2.2020 Vähennä 5,60 € 5,62 €
11.3.2020 Vähennä 4,20 € 4,25 €
6.5.2020 Vähennä 4,20 € 4,38 €
4.6.2020 Lisää 4,75 € 4,31 €
17.7.2020 Vähennä 4,00 € 3,98 €
13.8.2020 Lisää 3,80 € 3,56 €
15.9.2020 Vähennä 3,80 € 3,83 €
5.11.2020 Vähennä 3,80 € 3,86 €
4.1.2021 Lisää 4,20 € 3,92 €
18.1.2021 Lisää 4,20 € 3,95 €
11.3.2021 Lisää 4,20 € 4,03 €

BAS1V.HE
01/03/2019 Lisää 35,00 € 30,30 €
21/03/2019 Lisää 27,00 € 23,80 €
02/05/2019 Vähennä 21,00 € 20,50 €
16/07/2019 Lisää 20,00 € 18,02 €
19/09/2019 Lisää 24,00 € 22,35 €
23/10/2019 Lisää 23,00 € 20,10 €
03/12/2019 Lisää 25,50 € 24,15 €
05/02/2020 Lisää 28,00 € 24,90 €
17/03/2020 Vähennä 19,00 € 19,40 €
22/04/2020 Vähennä 22,50 € 23,60 €
11/06/2020 Vähennä 28,00 € 29,65 €
17/07/2020 Vähennä 33,00 € 34,40 €
22/10/2020 Vähennä 38,00 € 39,90 €
18/12/2020 Vähennä 40,00 € 39,75 €
05/02/2021 Vähennä 40,00 € 40,05 €
10/03/2021 Lisää 40,00 € 35,80 €

VAIAS.HE
5.10.2018 Lisää 20,00 € 18,25 €
17.10.2018 Vähennä 19,00 € 18,40 €
24.10.2018 Vähennä 19,00 € 18,50 €
13.12.2018 Lisää 18,00 € 16,80 €
15.1.2019 Vähennä 18,50 € 18,50 €
13.2.2019 Vähennä 17,50 € 17,40 €
25.4.2019 Myy 17,50 € 19,86 €
21.7.2019 Vähennä 20,00 € 20,25 €
20.9.2019 Vähennä 22,00 € 23,00 €
25.10.2019 Lisää 28,00 € 26,60 €
12.12.2019 Vähennä 31,00 € 32,30 €
13.2.2020 Vähennä 35,00 € 36,50 €
3.4.2020 Vähennä 27,00 € 26,60 €
29.4.2020 Vähennä 28,00 € 28,65 €
22.7.2020 Vähennä 30,00 € 31,70 €
22.10.2020 Myy 30,00 € 40,55 €
28.10.2020 Myy 30,00 € 36,60 €
4.1.2021 Myy 30,00 € 40,35 €
22.2.2021 Myy 30,00 € 36,50 €
9.3.2021 Vähennä 30,00 € 32,70 €

REG1V.HE
17/02/2017 Lisää 11,67 € 10,52 €
23/03/2017 Lisää 12,50 € 11,22 €
21/04/2017 Lisää 13,00 € 12,31 €
18/06/2017 Vähennä 12,67 € 13,18 €
08/08/2017 Vähennä 12,67 € 12,67 €
